spot_id,met_0,met_1,met_2,met_3,met_4,met_5,met_6,met_7,met_8,met_9,met_10,met_11
0,0.6403279207824333,0.5416238326178044,0.5937996506897782,0.6548743850586229,0.5553000754651367,0.4671871949058986,0.6288522937624056,0.40294902295281315,0.3066211188171528,0.3744350477269888,0.5305105475261942,0.7002638089519972
1,0.6776547249976317,0.5524492680236794,0.6459347740848995,0.7116395322598253,0.5954640074686068,0.5156762795606353,0.626257939100658,0.36511014529489183,0.21994917565605257,0.42629856947433586,0.497400104764229,0.6262850695636716
2,0.791564424083856,0.5261037399927637,0.4567694731010557,0.5749409550018548,0.5763357317895984,0.31122845425688467,0.5828716108446684,0.26779706621052185,0.3639582819409584,0.522884719658748,0.35548329760870223,0.690184768955223
3,0.5568117922759948,0.4080120329017618,0.5671827406409337,0.6348592264557729,0.4514681700535318,0.37082697732223735,0.5804009567935302,0.21287722800437345,0.2581438183677916,0.603084710445517,0.31001414943142924,0.4653634846313701
4,0.43920772928014895,0.45692058409164393,0.4337154712775606,0.5926552430356368,0.47467693877834644,0.42057383424702843,0.5325801212933753,0.3996630403340876,0.22608448326469455,0.3857176034386786,0.4548836887664429,0.5683440292792158
5,0.47945478753013293,0.32990860855786647,0.4087850024443331,0.42407069529673147,0.492845494963107,0.4434748941916085,0.4047765418420891,0.2541199246719801,0.2608401962427071,0.4439077692505519,0.33645472044961083,0.6240697733699057
6,0.5157315243923266,0.439336437176395,0.47053587491782556,0.31184144667409414,0.35933910359481763,0.32871149933455845,0.4820350690462865,0.3956070336655366,0.17032615599587916,0.240831232896804,0.44339558886574415,0.45246836287896763
7,0.48605623276322374,0.3645508256036083,0.5718066295836852,0.5232361390019998,0.4118525078493978,0.39376030189739225,0.5463643532163042,0.25650154861367674,0.09585231421856245,0.3245820530065486,0.3797030625527102,0.41543451936940284
8,0.44785147104526724,0.4119201561734767,0.3585048346069702,0.3963038210421971,0.44493762360018907,0.3310672649897344,0.4841203738625131,0.2054755066191723,0.03381685064773207,0.421836213538111,0.30306172639823814,0.5202558980091495
9,0.5106711858051782,0.3392582471674723,0.46561608116847947,0.5022129742172051,0.3642219644833218,0.42190920274357896,0.6407995886309237,0.24399695781949643,0.21203290266184405,0.5257645572461281,0.38551369301637783,0.5497602516755112
