spot_id,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23
0,0.3546171728828634,0.6273923970177955,0.4519244417640051,0.3108243975744967,0.4522860143592784,0.39932632038891974,0.5449571593873686,0.5210096985882154,0.656805574507763,0.5803027549126415,0.5581690175764334,0.38841454205421,0.20799482506363903,0.4734400380604795,0.4832638551633578,0.37895819883702575,0.2574495678876957,0.2993014085455052,0.13710339879567013,0.35081638003040067,0.5768658828558072,0.4823483424261587,0.5713805995465936,0.44592916740545935
1,0.49574657285210644,0.4986113610867646,0.40945456217567666,0.3939143894590783,0.26868090237533904,0.33929280547988644,0.6448007192274717,0.5894299999795382,0.6042492151146571,0.5375055107568429,0.5298365970943905,0.486490124695501,0.2981119017812305,0.607727129669148,0.4902027164808355,0.5959160966158926,0.2726193943419393,0.04547335069950573,0.35737535566273804,0.42132624974990185,0.5468929228713165,0.4132335815698873,0.5707231904245664,0.3653791075197113
2,0.4286943145498055,0.6284470449304893,0.3992305499210297,0.3314515083770626,0.31401980153685993,0.47455288487346026,0.6328061842717903,0.3646229222424257,0.4980738805288647,0.3495881801707483,0.5602708405394818,0.40116167830772514,0.14740347725705572,0.6809615430711538,0.6246045190301621,0.49724332199545557,0.334788072414685,0.1801781182513696,0.3695812366449964,0.3143766768436917,0.6076765590566039,0.43315599079302614,0.5840403649974877,0.37522755250141515
3,0.387223081254231,0.4955902595892144,0.40861769702378503,0.4670282357050165,0.2097891736599542,0.4781707983185182,0.4929367723063915,0.5398360989519257,0.6064711822188849,0.3564665542507534,0.4062033143054712,0.4027026894395954,0.1584399390692858,0.5020352731695159,0.501856841985882,0.4908730207300075,0.06337109966189064,0.1988746756316938,0.23291383358016035,0.3309151945122893,0.5209421846097708,0.4454466299910546,0.5425251761261913,0.18148603481663314
4,0.29219097928722165,0.5536279974140952,0.16331168389761822,0.39936199394318117,0.33338856516191656,0.41017833573900087,0.586297587943242,0.38419387091319246,0.6576231515946654,0.3586156052720422,0.45163671636124586,0.3323781050791216,0.3037997993290752,0.3719052056889102,0.5358685128574782,0.5213479897714587,0.2229042707449777,0.12956407335034714,0.3361074048360333,0.32697697154662864,0.4581959124237876,0.40721985886897955,0.5106415040958859,0.25589703304371136
5,0.3754982848326467,0.43214331220894936,0.40379839663475736,0.37895609526065704,0.3539051515665415,0.25982588873306817,0.5347108421150856,0.4909273090510013,0.5447727932260977,0.5916259713788674,0.392302647186338,0.5904446972948991,0.2617285867523139,0.4558751186108908,0.42478368137618117,0.5064545605249129,0.1963799195716136,0.23258352817909045,0.27803172083781524,0.369452154149741,0.3394939969011396,0.24170576897298168,0.2539509696294593,0.3402283487017046
6,0.41714472708047945,0.34597920986132663,0.2301315629661888,0.3121643591088572,0.12777856886614242,0.3149123680065499,0.4240843496769578,0.32237786694004805,0.4738133525822459,0.31237482573459546,0.16213478324879413,0.35928872673763573,0.19138295994853424,0.3154437166810153,0.3652145606493502,0.4414841816166848,0.11095438741991379,0.1683060067430306,0.2831893461593052,0.18593699872430963,0.31118502243871093,0.32416500928482767,0.39916811481807724,0.2496083693127979
7,0.3182847302649943,0.40167885940819675,0.37349502290140774,0.4430544876840354,0.25577866214083583,0.28237012715456616,0.39039251999046704,0.34029262187555515,0.48875971839469884,0.36388625118585094,0.43541033741271895,0.37800276880774025,0.2745338353555071,0.5974383400080612,0.4466609958700234,0.376897484064114,0.31148109722976225,0.07877891419552006,0.11580624978620102,0.2593555268872737,0.33946879941230584,0.24390201011251772,0.2702096300403677,0.2993514481542775
8,0.349065108457693,0.45743894173083643,0.24490117416377044,0.23246000048572577,0.30094489968825616,0.3729815286498641,0.4816509745547261,0.3807813707469148,0.4383346542134066,0.32950340465527694,0.44366496581000336,0.4112496955108716,0.1469335821706189,0.41757299007510756,0.4268190818669559,0.342857396224754,0.18012769923720223,0.2836471309703649,0.12292332673261161,0.292750113476652,0.4066542570753966,0.3179476810758421,0.356740520097922,0.17007749637149688
9,0.2857958530969525,0.48213846353749007,0.3220644914122412,0.3516069655038776,0.26672949184805267,0.3732821150305154,0.32043234800943965,0.4337995053970324,0.5446887905727974,0.3448711786975361,0.28654713094995254,0.38315863200665695,0.18742521749251642,0.4064234476733243,0.5557953776667516,0.606526117940263,0.19208543161968727,0.271113411135148,0.10283898933267957,0.3869190316523178,0.6138916107346803,0.38539725455488616,0.4567227384287739,0.21124382023509553
10,0.40313980377695235,0.575125714558532,0.44607457109844795,0.3521591872914999,0.3638871191810086,0.3515932682056776,0.5298611786710264,0.4192499031054812,0.34202647847086387,0.47746794695672223,0.4201788906501069,0.5446775086408147,0.26976391093578717,0.505551660689257,0.40426358529422746,0.4484738893388522,0.30102756370630956,0.1640721332298111,0.3357889576844524,0.3799756196748531,0.4129639557483776,0.271931986566995,0.3365726462912064,0.2783389517703263
11,0.2403250438468628,0.44977349309049847,0.3456700675842977,0.35144017773092245,0.2621843671328675,0.4606113071902232,0.7011825803547702,0.4375222706199731,0.6850037099494755,0.44805306151629576,0.36707731418266043,0.44848931258432656,0.24051547501447224,0.3850381460084411,0.5074855517995637,0.5231028665490804,0.2157647660571562,0.19196459181611403,0.25986704323584703,0.5081488832110443,0.45205006397185465,0.3499933818755438,0.5638057979943023,0.39432320597206105
12,0.5076823409045824,0.5710180967154882,0.23100649888583333,0.4451943261010682,0.2778074288820992,0.44177464312659726,0.6420483721011158,0.580035059409548,0.5832847053602865,0.49603528122403867,0.35090708833086826,0.5374275323726904,0.3039089113008808,0.6083396147100999,0.4703235298140934,0.5737886938074435,0.04701354224143334,0.27160017250085405,0.2780390020729888,0.38976629584000166,0.4555875687527591,0.3862661332176293,0.47134317300084494,0.31339252026822023
13,0.47171654155937426,0.547077658891621,0.4583791598247961,0.41943710696391284,0.20482930599454813,0.4424772835299012,0.605741291103508,0.5817075586934404,0.646812238306214,0.48919116403504165,0.484320493567523,0.3453652585876613,0.24430672340063966,0.561080181806279,0.516135769157303,0.3310809692763962,0.09789113217621623,0.4581265246251429,0.3397787946582261,0.38088907770738656,0.324496582984356,0.4910750926166136,0.48058294170001076,0.3449277100218518
14,0.6079795861296283,0.47143947783285606,0.3811803243486402,0.4313805388989404,0.44491965594653504,0.4544217131828334,0.5873447736332053,0.4705889312810375,0.4125053635764805,0.43078089867783503,0.5240195631097119,0.5063876327875549,0.19040854277352556,0.550061099893651,0.5801961253347767,0.5183954211821398,0.2579553441898137,0.2950483318254838,0.4596262879978197,0.3750974683521556,0.43841455789052974,0.6150589424234743,0.5817316960166873,0.4588928703496173
